,chapter,link,manga,title
12,305,https://readms.net/r/haikyuu/305/5135/1,Haikyuu!!,"One Step Forward, Two Steps Dash"
11,306,https://readms.net/r/haikyuu/306/5157/1,Haikyuu!!,Take Aim
10,307,https://readms.net/r/haikyuu/307/5171/1,Haikyuu!!,Tenacity
9,308,https://readms.net/r/haikyuu/308/5192/1,Haikyuu!!,Needle and Broadsword
17,905,https://readms.net/r/one_piece/905/5096/1,One Piece,A Beautiful World
16,906,https://readms.net/r/one_piece/906/5121/1,One Piece,The Holy Land Mary Geoise
15,907,https://readms.net/r/one_piece/907/5133/1,One Piece,The Empty Throne
14,908,https://readms.net/r/one_piece/908/5152/1,One Piece,Reverie Begins!
13,909,https://readms.net/r/one_piece/909/5187/1,One Piece,Seppuku
3,266,https://readms.net/r/shokugeki_no_souma/266/5137/1,Shokugeki no Souma,"Souma and Megumi's Hot Spring Case Files, Part 2: The Shokugeki Scent is in the Air"
2,267,https://readms.net/r/shokugeki_no_souma/267/5156/1,Shokugeki no Souma,"Souma and Megumi's Hot Spring Case Files, Part 3: The Midnight Chefs"
1,268,https://readms.net/r/shokugeki_no_souma/268/5170/1,Shokugeki no Souma,"Souma and Megumi's Hot Spring Case Files, Part 4 - Tootsuki Academy's Tenth Seat, Megumi Tadokoro"
0,269,https://readms.net/r/shokugeki_no_souma/269/5191/1,Shokugeki no Souma,"Souma and Megumi's Hot Spring Case Files, Part 5: Megumi's Hospitality"
22,175,https://readms.net/r/tokyo_ghoulre/175/5129/1,Tokyo Ghoulre,Lord of the Bugs
21,176,https://readms.net/r/tokyo_ghoulre/176/5148/1,Tokyo Ghoulre,Loss
20,177,https://readms.net/r/tokyo_ghoulre/177/5162/1,Tokyo Ghoulre,Outcome
19,178,https://readms.net/r/tokyo_ghoulre/178/5175/1,Tokyo Ghoulre,White and Rabbit
18,179,https://readms.net/r/tokyo_ghoulre/179/5197/1,Tokyo Ghoulre,The Mountain Goat's Song
8,384,http://manganelo.com/chapter/tower_of_god_manga/chapter_384,Tower of God, [Season 2] Ep.304
7,385,http://manganelo.com/chapter/tower_of_god_manga/chapter_385,Tower of God, [Season 2] Ep.305
6,386,http://manganelo.com/chapter/tower_of_god_manga/chapter_386,Tower of God, [Season 2] Ep.306
5,387,http://manganelo.com/chapter/tower_of_god_manga/chapter_387,Tower of God, [Season 2] Ep.307
4,Chapter 388,http://manganelo.com/chapter/tower_of_god_manga/chapter_388,Tower of God,
